image,count
challenging/-3766-_png_jpg.rf.81ead992d4b8047ec7beb28b7532cf0a.jpg,45
challenging/-4405-_png_jpg.rf.82b5c10b2acd1cfaa24259ada8e599fe.jpg,3
challenging/anuragraj03__005331_jpg.rf.6f33b1de6a36491745450d22f355c32a.jpg,40
challenging/anuragraj03__005354_jpg.rf.c1eefbf6cdbee9f086071435974241d0.jpg,0
challenging/anuragraj03__005360_jpg.rf.76cd4a716fa59edf807052ccfe690801.jpg,28
challenging/anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a.jpg,13
challenging/anuragraj03__frame00121_png.rf.2c0882ee84e8074a67c70ca9e61d9ba2.jpg,21
challenging/anuragraj03__frame00271_png.rf.99575ef03b3806302ef8b71e87513080.jpg,2
challenging/f643eec0-dc10-11f0-bd2b-d531d865f86a.jpg.webp,28
challenging/Incorrect-camera-lighting-for-PPE-detection-1024x576.webp,12
challenging/ketakichalke-boots__image632.jpg,10
challenging/ketakichalke-boots__image645.jpg,6
challenging/ppe_0355_jpg.rf.508753d5b708536eca53de192b927c61.jpg,14
challenging/youtube-198_jpg.rf.e89faeb9765c6bd6cece5434d140f4af.jpg,4
challenging/youtube-342_jpg.rf.d7e55a17800f8d87313d7b6f33256ea9.jpg,14
typical/000005_jpg.rf.96e9379ccae638140c4a90fc4b700a2b.jpg,7
typical/002551_jpg.rf.ce4b9f934161faa72c80dc6898d37b2d.jpg,8
typical/004063_jpg.rf.1b7cdc4035bcb24ef69b8798b444053e.jpg,18
typical/00596_jpg.rf.d030c5d98b937d080d75db1c1b269a84.jpg,12
typical/006463_jpg.rf.02f19082420ecc5537b9d59abbe6050c.jpg,35
typical/0_jpg.rf.2ff49f74309118f169e07aa12564df87.jpg,14
typical/2008_008320_jpg.rf.bd34011d46f82f9410d95f00e560b8ea.jpg,5
typical/anuragraj03__005447_jpg.rf.d6b948ff75c1201d032c20df018add4f.jpg,14
typical/anuragraj03__005491_jpg.rf.03afedd2b129bba220f187cac6baf072.jpg,12
typical/anuragraj03__005503_jpg.rf.75676b9f37499f5f6c4800b99678bfa2.jpg,0
typical/anuragraj03__005514_jpg.rf.357ef00ffb39721afc3bf9bea9dc6231.jpg,33
typical/anuragraj03__005518_jpg.rf.897f62ea1fbca703a5e94eba21b1cf8f.jpg,30
typical/anuragraj03__frame00001_png.rf.1bc96f2adf8cc42fe7d441bb169e5273.jpg,2
typical/anuragraj03__frame00031_png.rf.4ce9f7f0a0450f587d298dc47fae2ce8.jpg,9
typical/anuragraj03__frame00251_png.rf.c7baf25b891c45aff70e3fa12a7873c1.jpg,8
typical/anuragraj03__frame00281_png.rf.5ad3ea5aa3d13b16c25137ed015da273.jpg,2
typical/anuragraj03__helmet999532_jpg.rf.033e03a04792fbded6ab95d6b7d734a0.jpg,14
typical/Building-Site-CCTV-Installation.jpg,3
typical/class1_150_jpg.rf.5995dce34d38deb9eb0b6e36cae78f17.jpg,7
typical/Construction-site-security-team.jpg,17
typical/Construction20CCTV.jpg,7
typical/gettyimages-1354822857-640x640.jpg,1
typical/Health-and-safety-on-a-construction.jpg,9
typical/Health-and-Safety-on-building-site.jpg.webp,0
typical/Incorrect-camera-positioning-with-obstructions-for-PPE-detection-1024x576.webp,6
typical/ketakichalke-boots__image117.jpg,22
typical/ketakichalke-boots__image322.jpg,17
typical/ketakichalke-boots__image726.jpeg,9
typical/ketakichalke-boots__image962.jpg,10
typical/Mask2_mov-15_jpg.rf.026bd9a95154b1ead451a722a25ed130.jpg,4
typical/NX_img_177_jpg.rf.c03709e5fadfe2109411f05a9e9bc25f.jpg,14
typical/ppe_0665_jpg.rf.1dad479f7f54b2a7127cf18ef74ffd85.jpg,28
typical/Virtual-Trip-Wires-on-building-sites.jpg.webp,7
