image,count
difficult/anuragraj03__005354_jpg.rf.c1eefbf6cdbee9f086071435974241d0.jpg,0
difficult/Incorrect-camera-lighting-for-PPE-detection-1024x576.webp,8
difficult/ketakichalke-boots__image645.jpg,15
typical/class1_150_jpg.rf.5995dce34d38deb9eb0b6e36cae78f17.jpg,6
typical/ketakichalke-boots__image21.jpeg,10
typical/ketakichalke-boots__image22.jpg,9
typical/ketakichalke-boots__image26.jpeg,3
typical/ketakichalke-boots__image322.jpg,11
typical/ketakichalke-boots__image70.jpeg,2
typical/ketakichalke-boots__image75.jpg,4
typical/ppe_0665_jpg.rf.1dad479f7f54b2a7127cf18ef74ffd85.jpg,26
typical/Virtual-Trip-Wires-on-building-sites.jpg.webp,3
typical/youtube-198_jpg.rf.e89faeb9765c6bd6cece5434d140f4af.jpg,3
