epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05233,1.85351,5.40767,0.01306,0.0008,0.05589,0.00026,7e-05,1.82741,6.05308,0.01226,0.000208437,0.000208437,0.000208437
2,13.5838,1.71911,5.12044,0.01258,0.00076,0.03638,0.00069,0.00025,1.83624,5.98433,0.01225,0.000420109,0.000420109,0.000420109
3,18.7798,1.68536,4.95165,0.01237,0.03639,0.0599,0.01743,0.00928,1.8254,5.88836,0.01212,0.000620776,0.000620776,0.000620776
4,26.237,1.66293,4.77229,0.01221,0.00587,0.14405,0.02732,0.01569,1.8258,5.69266,0.01224,0.000617475,0.000617475,0.000617475
5,31.4613,1.67405,4.52507,0.01262,0.011,0.17971,0.04208,0.02008,1.88866,5.43458,0.01312,0.000600967,0.000600967,0.000600967
6,38.4789,1.70041,4.31003,0.01296,0.82729,0.05175,0.0774,0.03372,1.94306,5.16957,0.01451,0.000584459,0.000584459,0.000584459
7,43.9502,1.73522,4.00321,0.01147,0.72472,0.08784,0.10125,0.0445,1.90456,4.95646,0.01346,0.00056795,0.00056795,0.00056795
8,49.1508,1.73812,3.88794,0.01192,0.72037,0.12133,0.11444,0.05262,1.90101,4.77003,0.01336,0.000551442,0.000551442,0.000551442
9,56.278,1.71075,3.9194,0.01181,0.66927,0.11041,0.10477,0.0533,1.96093,4.64021,0.01365,0.000534934,0.000534934,0.000534934
10,61.4493,1.72923,3.81566,0.01284,0.50983,0.12088,0.11633,0.05666,1.95564,4.53643,0.01401,0.000518426,0.000518426,0.000518426
11,68.6721,1.66458,3.68108,0.01144,0.51924,0.13654,0.12525,0.06015,1.99436,4.41764,0.0142,0.000501917,0.000501917,0.000501917
12,74.323,1.66303,3.53944,0.01136,0.53551,0.14404,0.12823,0.06174,2.01584,4.39209,0.01403,0.000485409,0.000485409,0.000485409
13,79.781,1.71305,3.40491,0.01184,0.44159,0.1642,0.15294,0.0715,1.99303,4.25062,0.0136,0.000468901,0.000468901,0.000468901
14,86.8156,1.69723,3.30483,0.0112,0.47968,0.194,0.17033,0.0828,2.00279,4.09983,0.01387,0.000452393,0.000452393,0.000452393
