epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5056,1.68981,5.08327,0.01206,0.00069,0.04802,0.0002,5e-05,1.66724,5.76478,0.01154,0.000208437,0.000208437,0.000208437
2,39.5345,1.62368,4.89071,0.01202,0.0006,0.03159,0.0001,4e-05,1.69554,5.72689,0.01195,0.000420109,0.000420109,0.000420109
3,44.6262,1.60337,4.64256,0.01201,0.02247,0.08643,0.02212,0.01489,1.68022,5.60186,0.01141,0.000620776,0.000620776,0.000620776
4,50.6056,1.61523,4.45322,0.01216,0.00717,0.13609,0.04555,0.02542,1.73617,5.34968,0.01185,0.000617475,0.000617475,0.000617475
5,57.1323,1.65266,4.19675,0.01336,0.94395,0.02235,0.04741,0.02469,1.77981,5.05757,0.01255,0.000600967,0.000600967,0.000600967
6,62.2569,1.65409,4.01862,0.01304,0.79025,0.04635,0.07752,0.03442,1.78438,4.84298,0.01296,0.000584459,0.000584459,0.000584459
7,69.2108,1.68786,3.71964,0.01154,0.75245,0.0675,0.09878,0.04188,1.80582,4.57827,0.01311,0.00056795,0.00056795,0.00056795
8,74.3165,1.65632,3.54849,0.01135,0.62926,0.09967,0.11109,0.04987,1.8218,4.38132,0.01321,0.000551442,0.000551442,0.000551442
9,79.6555,1.65816,3.53419,0.0118,0.56487,0.1347,0.12135,0.05945,1.82793,4.18187,0.01292,0.000534934,0.000534934,0.000534934
10,86.2454,1.66385,3.51515,0.01237,0.5568,0.16948,0.13475,0.06465,1.83346,4.04292,0.01291,0.000518426,0.000518426,0.000518426
11,91.3892,1.61094,3.39557,0.01128,0.4806,0.18866,0.15642,0.07287,1.8342,3.89926,0.01299,0.000501917,0.000501917,0.000501917
12,98.5532,1.56482,3.30357,0.01068,0.60229,0.19669,0.16895,0.0773,1.78022,3.8269,0.01285,0.000485409,0.000485409,0.000485409
13,103.858,1.5903,3.13494,0.01106,0.48961,0.18308,0.17513,0.08066,1.83917,3.77016,0.01294,0.000468901,0.000468901,0.000468901
14,109.072,1.59428,3.02783,0.01076,0.41949,0.20666,0.18343,0.08835,1.79494,3.69613,0.01288,0.000452393,0.000452393,0.000452393
15,115.913,1.59564,3.06014,0.01188,0.41246,0.25202,0.19418,0.09476,1.82368,3.63206,0.01313,0.000435884,0.000435884,0.000435884
16,121.017,1.52456,3.0279,0.01193,0.41471,0.24995,0.20482,0.10213,1.8294,3.58875,0.01313,0.000419376,0.000419376,0.000419376
17,127.896,1.54895,2.90656,0.01085,0.33485,0.25301,0.20967,0.10766,1.83255,3.53077,0.01306,0.000402868,0.000402868,0.000402868
18,133.375,1.52408,2.81935,0.01076,0.34254,0.24036,0.20238,0.10172,1.82391,3.49105,0.01299,0.00038636,0.00038636,0.00038636
19,138.769,1.56536,2.70081,0.01024,0.40436,0.24843,0.2198,0.10751,1.83081,3.37135,0.01294,0.000369851,0.000369851,0.000369851
