epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.372,1.68683,3.54459,0.01195,0.56538,0.22588,0.1875,0.09106,1.70671,3.66614,0.01267,0.000215981,0.000215981,0.000215981
2,30.2139,1.64067,2.43643,0.01165,0.4322,0.3527,0.30634,0.1264,1.8845,2.36536,0.01499,0.000436868,0.000436868,0.000436868
3,43.9356,1.72775,2.01114,0.01202,0.5074,0.3336,0.32011,0.13529,1.92913,2.3073,0.01575,0.000656287,0.000656287,0.000656287
4,57.8135,1.75266,1.88235,0.01239,0.41616,0.39642,0.3574,0.15562,1.93479,2.01361,0.01591,0.000660397,0.000660397,0.000660397
5,71.4914,1.76232,1.84533,0.0129,0.42852,0.37728,0.33555,0.12882,2.05594,2.17006,0.01742,0.000658196,0.000658196,0.000658196
6,83.5135,1.73977,1.74404,0.01243,0.4471,0.38303,0.36139,0.15403,1.95463,2.04887,0.01599,0.000655994,0.000655994,0.000655994
7,95.5115,1.7501,1.68221,0.01233,0.4466,0.42629,0.38555,0.15788,1.97122,1.98849,0.01738,0.000653793,0.000653793,0.000653793
8,109.383,1.7169,1.61958,0.01206,0.46668,0.44198,0.40006,0.17494,1.89058,1.845,0.01495,0.000651592,0.000651592,0.000651592
9,123.178,1.69306,1.5948,0.01191,0.50082,0.43579,0.40132,0.16835,1.90359,1.87129,0.01534,0.000649391,0.000649391,0.000649391
10,135.131,1.68382,1.57935,0.0116,0.46045,0.43098,0.42204,0.18578,1.84992,1.79103,0.01481,0.00064719,0.00064719,0.00064719
11,148.878,1.67497,1.55739,0.01195,0.50555,0.44889,0.44698,0.19546,1.85173,1.75747,0.01434,0.000644989,0.000644989,0.000644989
12,162.569,1.6727,1.52725,0.01139,0.45597,0.44628,0.41228,0.17562,1.88211,1.83652,0.01483,0.000642788,0.000642788,0.000642788
13,174.534,1.68797,1.50312,0.01187,0.53184,0.44488,0.45196,0.19417,1.87622,1.74947,0.01464,0.000640587,0.000640587,0.000640587
14,186.502,1.65523,1.47143,0.01217,0.49759,0.4737,0.43683,0.18896,1.86177,1.73284,0.01474,0.000638386,0.000638386,0.000638386
15,198.524,1.64875,1.44952,0.01146,0.52518,0.46993,0.4666,0.19742,1.88901,1.66549,0.01469,0.000636185,0.000636185,0.000636185
16,212.335,1.66059,1.43379,0.0116,0.47361,0.43202,0.40628,0.17872,1.89329,1.8999,0.01453,0.000633983,0.000633983,0.000633983
17,224.313,1.65638,1.41635,0.01164,0.52404,0.48625,0.47264,0.2096,1.85873,1.61768,0.01467,0.000631782,0.000631782,0.000631782
18,238.135,1.63931,1.36695,0.01131,0.53671,0.46658,0.45849,0.20611,1.86112,1.62013,0.01441,0.000629581,0.000629581,0.000629581
19,250.178,1.61277,1.35319,0.01106,0.52523,0.47398,0.45167,0.19247,1.90296,1.70495,0.01523,0.00062738,0.00062738,0.00062738
20,262.223,1.61574,1.34339,0.01097,0.52966,0.49339,0.46321,0.20663,1.86243,1.6657,0.01463,0.000625179,0.000625179,0.000625179
21,274.257,1.59802,1.29607,0.01092,0.54794,0.4789,0.46823,0.20719,1.87546,1.61561,0.01427,0.000622978,0.000622978,0.000622978
22,286.623,1.61332,1.30057,0.0111,0.51608,0.47582,0.45176,0.19476,1.91594,1.66516,0.01479,0.000620777,0.000620777,0.000620777
23,299.446,1.59841,1.25579,0.01058,0.52291,0.5199,0.47991,0.2102,1.86676,1.62027,0.0146,0.000618576,0.000618576,0.000618576
24,313.568,1.56135,1.23723,0.01037,0.52444,0.50099,0.46347,0.20805,1.87159,1.64053,0.01437,0.000616375,0.000616375,0.000616375
25,325.678,1.56948,1.22686,0.01066,0.52958,0.48329,0.46588,0.20447,1.85241,1.61903,0.01448,0.000614174,0.000614174,0.000614174
26,337.723,1.57653,1.23072,0.01065,0.55591,0.50867,0.49494,0.21805,1.85858,1.596,0.0145,0.000611972,0.000611972,0.000611972
27,351.701,1.58291,1.21546,0.01064,0.5513,0.51463,0.47086,0.20186,1.87776,1.61806,0.01475,0.000609771,0.000609771,0.000609771
28,363.69,1.54537,1.1889,0.01083,0.55024,0.48628,0.46995,0.21033,1.8563,1.61163,0.01437,0.00060757,0.00060757,0.00060757
29,375.69,1.5248,1.17693,0.01049,0.49359,0.49197,0.44859,0.19625,1.91059,1.655,0.01477,0.000605369,0.000605369,0.000605369
30,387.726,1.54008,1.17846,0.01073,0.54338,0.47624,0.46563,0.1965,1.93101,1.62478,0.01522,0.000603168,0.000603168,0.000603168
31,399.712,1.5205,1.14357,0.01044,0.54353,0.49507,0.46129,0.20237,1.90718,1.63672,0.01493,0.000600967,0.000600967,0.000600967
32,411.712,1.53902,1.12359,0.01039,0.55523,0.46993,0.45275,0.19998,1.93868,1.71005,0.01534,0.000598766,0.000598766,0.000598766
33,423.805,1.52479,1.12127,0.01051,0.53226,0.49974,0.47072,0.20278,1.90372,1.58168,0.01455,0.000596565,0.000596565,0.000596565
34,435.867,1.52653,1.10617,0.0101,0.54366,0.48961,0.4606,0.19697,1.92917,1.67706,0.01527,0.000594364,0.000594364,0.000594364
35,448.067,1.53097,1.11477,0.01,0.55816,0.52392,0.47424,0.20425,1.90411,1.58502,0.01463,0.000592163,0.000592163,0.000592163
36,460.128,1.49498,1.07013,0.00991,0.54003,0.49242,0.46328,0.19873,1.93052,1.60854,0.01495,0.000589961,0.000589961,0.000589961
37,472.19,1.51017,1.06952,0.00982,0.52054,0.50422,0.46794,0.20885,1.89288,1.58483,0.01449,0.00058776,0.00058776,0.00058776
38,484.227,1.4751,1.07789,0.01036,0.55922,0.47788,0.46018,0.19474,1.94841,1.63659,0.01507,0.000585559,0.000585559,0.000585559
39,496.223,1.49037,1.06724,0.01025,0.57699,0.50825,0.47123,0.20079,1.92804,1.66774,0.01457,0.000583358,0.000583358,0.000583358
40,508.267,1.49248,1.01727,0.00982,0.60396,0.49742,0.48048,0.21195,1.90836,1.65855,0.01488,0.000581157,0.000581157,0.000581157
41,520.389,1.46319,1.01215,0.00979,0.5438,0.50991,0.4646,0.2019,1.92549,1.6148,0.01478,0.000578956,0.000578956,0.000578956
42,532.567,1.44533,0.98707,0.00969,0.58349,0.51229,0.48466,0.20494,1.9407,1.65225,0.01484,0.000576755,0.000576755,0.000576755
43,544.534,1.41159,0.95687,0.00952,0.57869,0.49943,0.47663,0.21083,1.90398,1.57917,0.01443,0.000574554,0.000574554,0.000574554
44,556.778,1.43647,0.9432,0.00953,0.52948,0.51973,0.46147,0.20519,1.92618,1.57626,0.01484,0.000572353,0.000572353,0.000572353
45,568.916,1.43301,0.97163,0.00972,0.5614,0.50638,0.47915,0.21563,1.91206,1.56182,0.01451,0.000570152,0.000570152,0.000570152
46,581.246,1.42326,0.9406,0.00946,0.53793,0.49783,0.46278,0.20516,1.93138,1.65765,0.01499,0.00056795,0.00056795,0.00056795
