epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.054,1.45517,2.64712,0.01096,0.59822,0.5109,0.53468,0.27008,1.70142,2.06567,0.01708,0.000236359,0.000236359,0.000236359
2,84.7651,1.43455,1.76256,0.01055,0.68754,0.5106,0.56413,0.29677,1.86367,1.72509,0.01981,0.000471228,0.000471228,0.000471228
3,119.753,1.44678,1.65101,0.01081,0.68611,0.552,0.60285,0.2752,1.93142,1.66278,0.02099,0.000702955,0.000702955,0.000702955
4,152.599,1.45276,1.54466,0.01044,0.66024,0.56365,0.60814,0.32965,1.71759,1.49721,0.01782,0.000699863,0.000699863,0.000699863
5,186.264,1.39578,1.44162,0.01014,0.74148,0.52536,0.61222,0.31686,1.80134,1.51469,0.01841,0.00069515,0.00069515,0.00069515
6,218.82,1.39536,1.37043,0.00983,0.77487,0.56869,0.66603,0.36892,1.7113,1.23847,0.01845,0.000690438,0.000690438,0.000690438
7,252.442,1.36042,1.31819,0.00963,0.70459,0.61312,0.66747,0.36932,1.71884,1.27073,0.0174,0.000685726,0.000685726,0.000685726
8,286.781,1.34768,1.27207,0.0097,0.75086,0.57213,0.65922,0.34064,1.69751,1.27882,0.01733,0.000681013,0.000681013,0.000681013
9,318.875,1.32565,1.23296,0.00942,0.81985,0.59984,0.69295,0.36904,1.75632,1.22149,0.01774,0.000676301,0.000676301,0.000676301
10,351.981,1.30849,1.19426,0.00894,0.73468,0.60675,0.67753,0.38557,1.61118,1.20327,0.01617,0.000671588,0.000671588,0.000671588
11,387.119,1.29267,1.18264,0.0091,0.73306,0.6104,0.67244,0.34673,1.71773,1.34932,0.018,0.000666876,0.000666876,0.000666876
12,419.976,1.29663,1.15816,0.00886,0.73237,0.62,0.68138,0.3829,1.66912,1.20095,0.01786,0.000662164,0.000662164,0.000662164
13,452,1.2733,1.12209,0.00855,0.8197,0.66267,0.75547,0.41269,1.65201,1.09449,0.01639,0.000657451,0.000657451,0.000657451
14,486.463,1.26294,1.08306,0.00845,0.78368,0.66673,0.7355,0.39139,1.63415,1.07112,0.01607,0.000652739,0.000652739,0.000652739
15,518.636,1.26256,1.06033,0.00858,0.79439,0.67264,0.74364,0.44007,1.57976,1.06405,0.01592,0.000648026,0.000648026,0.000648026
16,553.03,1.24125,1.03292,0.00818,0.79816,0.6889,0.76152,0.4417,1.60561,0.98068,0.01588,0.000643314,0.000643314,0.000643314
17,586.87,1.22927,1.02821,0.0082,0.82011,0.72174,0.7747,0.44,1.58186,1.00126,0.0151,0.000638602,0.000638602,0.000638602
18,619.419,1.21807,1.02829,0.0082,0.78472,0.6627,0.74626,0.43613,1.54664,1.05961,0.01502,0.000633889,0.000633889,0.000633889
19,651.863,1.22329,0.99507,0.00796,0.83306,0.63229,0.74574,0.43317,1.53562,1.10795,0.01486,0.000629177,0.000629177,0.000629177
20,685.296,1.20212,0.97457,0.00803,0.86309,0.68395,0.78364,0.45028,1.55757,0.91828,0.01505,0.000624464,0.000624464,0.000624464
21,719.54,1.17514,0.95314,0.00781,0.7902,0.73211,0.78791,0.47366,1.47169,0.86829,0.01367,0.000619752,0.000619752,0.000619752
22,754.005,1.18951,0.92536,0.0076,0.85055,0.69149,0.77812,0.47672,1.43049,0.93623,0.01251,0.00061504,0.00061504,0.00061504
23,788.482,1.16963,0.92427,0.00765,0.82083,0.70061,0.75574,0.44472,1.52713,1.04147,0.01528,0.000610327,0.000610327,0.000610327
24,822.612,1.14251,0.89123,0.00744,0.80786,0.70243,0.7702,0.47148,1.48054,0.93587,0.01368,0.000605615,0.000605615,0.000605615
25,854.734,1.15427,0.89154,0.00745,0.85698,0.70757,0.78399,0.46454,1.47705,0.90638,0.01404,0.000600902,0.000600902,0.000600902
26,887.411,1.12736,0.8582,0.00733,0.87639,0.6773,0.78254,0.4652,1.52944,0.92493,0.01474,0.00059619,0.00059619,0.00059619
27,919.749,1.12534,0.85856,0.00729,0.85513,0.7514,0.81298,0.49805,1.48292,0.81505,0.0136,0.000591478,0.000591478,0.000591478
28,954.032,1.13287,0.8548,0.00712,0.82987,0.7338,0.79616,0.48449,1.45975,0.87383,0.01377,0.000586765,0.000586765,0.000586765
29,987.102,1.10443,0.83723,0.00717,0.88902,0.69274,0.79601,0.49,1.47488,0.89011,0.01402,0.000582053,0.000582053,0.000582053
30,1020.07,1.09578,0.82455,0.00708,0.86861,0.74242,0.8149,0.49689,1.46071,0.85149,0.01357,0.00057734,0.00057734,0.00057734
31,1052.29,1.09412,0.80935,0.00703,0.84301,0.75875,0.82366,0.50603,1.46226,0.83375,0.01372,0.000572628,0.000572628,0.000572628
32,1086.58,1.09066,0.80801,0.00685,0.86957,0.70056,0.79537,0.50521,1.41182,0.837,0.01307,0.000567916,0.000567916,0.000567916
33,1118.71,1.08456,0.80457,0.00682,0.86808,0.74491,0.82079,0.52535,1.40163,0.79359,0.01242,0.000563203,0.000563203,0.000563203
34,1153.07,1.07014,0.79018,0.00689,0.87386,0.75497,0.83231,0.52324,1.38431,0.79211,0.01257,0.000558491,0.000558491,0.000558491
35,1185.27,1.07011,0.78654,0.00664,0.84905,0.70882,0.79641,0.50824,1.3868,0.86857,0.0128,0.000553778,0.000553778,0.000553778
36,1218.08,1.0696,0.7755,0.0066,0.8834,0.74629,0.82416,0.50284,1.44916,0.80351,0.0137,0.000549066,0.000549066,0.000549066
37,1250.29,1.05343,0.75836,0.00659,0.82609,0.74524,0.80241,0.5021,1.37447,0.81854,0.01247,0.000544354,0.000544354,0.000544354
38,1284.1,1.0518,0.75293,0.00655,0.89831,0.71993,0.82443,0.52644,1.39286,0.78151,0.01241,0.000539641,0.000539641,0.000539641
39,1318.48,1.02506,0.73235,0.00636,0.86095,0.75636,0.82239,0.51756,1.42956,0.80161,0.01298,0.000534929,0.000534929,0.000534929
40,1351.25,1.05346,0.74256,0.00642,0.86921,0.75847,0.82693,0.51335,1.43848,0.79697,0.01297,0.000530216,0.000530216,0.000530216
41,1383.48,1.05433,0.74125,0.00637,0.84369,0.78419,0.84399,0.53787,1.42188,0.7768,0.01281,0.000525504,0.000525504,0.000525504
42,1417.97,1.03068,0.72213,0.00633,0.85406,0.76572,0.83277,0.51082,1.48066,0.8253,0.01401,0.000520792,0.000520792,0.000520792
43,1450.23,1.03706,0.71949,0.00621,0.85089,0.76577,0.83485,0.54661,1.35319,0.76911,0.01241,0.000516079,0.000516079,0.000516079
44,1484.73,1.01947,0.70252,0.00614,0.86753,0.75872,0.83492,0.5426,1.35087,0.75109,0.01237,0.000511367,0.000511367,0.000511367
45,1517.05,1.00722,0.70182,0.00616,0.84692,0.7753,0.84648,0.54274,1.34656,0.74048,0.01229,0.000506654,0.000506654,0.000506654
46,1549.96,1.01113,0.71179,0.00628,0.90891,0.77534,0.85592,0.55391,1.31384,0.70842,0.01181,0.000501942,0.000501942,0.000501942
47,1584.53,1.01739,0.69974,0.00608,0.87192,0.76016,0.83059,0.55109,1.31404,0.74591,0.01191,0.00049723,0.00049723,0.00049723
48,1617.52,0.99705,0.6834,0.00611,0.89416,0.76157,0.84214,0.56086,1.30917,0.71575,0.01158,0.000492517,0.000492517,0.000492517
49,1651.38,0.9799,0.66768,0.00592,0.86705,0.79325,0.85026,0.54122,1.4105,0.72179,0.01278,0.000487805,0.000487805,0.000487805
50,1683.99,0.99069,0.66475,0.00588,0.90985,0.78252,0.8611,0.56904,1.30686,0.69184,0.01115,0.000483092,0.000483092,0.000483092
51,1717.95,0.9856,0.66459,0.00589,0.89751,0.76629,0.85117,0.56145,1.32874,0.68007,0.01202,0.00047838,0.00047838,0.00047838
