epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.8728,1.49917,2.90719,0.0116,0.57861,0.42776,0.46163,0.24981,1.64281,2.20401,0.01542,0.00993103,0.00331034,0.00993103,0.00331034,0.00993103,0.00331034,0.00993103,0.00331034
2,76.7717,1.37931,1.71086,0.00983,0.71137,0.58644,0.64095,0.33845,1.72791,1.47467,0.01715,0.0198653,0.00662175,0.0198653,0.00662175,0.0198653,0.00662175,0.0198653,0.00662175
3,110.893,1.39972,1.5553,0.01025,0.6434,0.51499,0.55104,0.2626,1.97638,1.7358,0.0214,0.0297335,0.00991116,0.0297335,0.00991116,0.0297335,0.00991116,0.0297335,0.00991116
4,143.493,1.44333,1.54332,0.01029,0.7332,0.54703,0.59824,0.29939,1.90031,1.57872,0.02014,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,176.004,1.39379,1.46976,0.01015,0.75948,0.58922,0.65793,0.34432,1.79101,1.35394,0.01852,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,210.893,1.39347,1.37303,0.00972,0.73148,0.61492,0.67475,0.37975,1.63384,1.32583,0.01622,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,244.282,1.36733,1.33162,0.00964,0.81443,0.60539,0.70857,0.38295,1.65859,1.30924,0.01593,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,278.193,1.3449,1.26135,0.00951,0.76532,0.63968,0.70596,0.39896,1.63955,1.17883,0.01578,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,311.681,1.32636,1.22754,0.00935,0.81666,0.65416,0.71634,0.38176,1.69225,1.18002,0.01693,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,344.122,1.3186,1.19493,0.00904,0.72359,0.60376,0.67138,0.38873,1.57282,1.27593,0.01508,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,376.647,1.28692,1.15672,0.00907,0.82092,0.6054,0.68515,0.37767,1.67131,1.32163,0.01703,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,409.092,1.28195,1.12983,0.0087,0.79475,0.66606,0.74606,0.40607,1.69257,1.05434,0.01721,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,443.025,1.27188,1.10439,0.00856,0.83091,0.68588,0.77217,0.45385,1.539,1.01898,0.01503,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,477.008,1.25772,1.06911,0.00838,0.80284,0.64353,0.7443,0.41391,1.59443,1.04775,0.01503,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,511.314,1.24887,1.03509,0.00845,0.82641,0.69172,0.77085,0.45617,1.50673,1.00692,0.01463,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,545.235,1.2404,1.02493,0.00821,0.85302,0.66581,0.78281,0.46817,1.51483,0.91625,0.01429,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,578.78,1.23166,1.01896,0.00824,0.81642,0.70806,0.77651,0.46481,1.57592,0.92512,0.01523,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,612.802,1.21411,1.01343,0.00814,0.79517,0.70117,0.775,0.45359,1.53099,0.94163,0.01448,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,647.659,1.21674,0.97582,0.00794,0.82427,0.70301,0.77981,0.44213,1.60702,0.98168,0.01563,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,681.361,1.19749,0.96062,0.00803,0.79755,0.69552,0.77549,0.44617,1.61192,0.99809,0.01608,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,713.94,1.18481,0.93938,0.00783,0.84189,0.64265,0.73806,0.44287,1.55827,1.06326,0.01542,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,746.435,1.19688,0.92686,0.00767,0.8438,0.70117,0.77626,0.47836,1.45558,0.93962,0.01354,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
