epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,182.779,1.83547,2.43405,0.00935,0.72737,0.60265,0.66262,0.32312,1.81654,1.2454,0.01153,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769
2,335.087,1.76326,1.40467,0.009,0.70368,0.59964,0.64967,0.31298,1.82576,1.29908,0.01176,0.0198512,0.00661706,0.0198512,0.00661706,0.0198512,0.00661706,0.0198512,0.00661706
3,479.682,1.80108,1.50814,0.00964,0.67846,0.53778,0.57681,0.26258,1.91339,1.5365,0.0127,0.0295873,0.00986243,0.0295873,0.00986243,0.0295873,0.00986243,0.0295873,0.00986243
4,621.393,1.80994,1.52834,0.00973,0.68679,0.57925,0.62139,0.29843,1.82783,1.36962,0.01206,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,763.024,1.78895,1.45299,0.00954,0.73473,0.60846,0.66556,0.32174,1.81204,1.28087,0.01187,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,904.461,1.75873,1.39654,0.00937,0.76746,0.63612,0.69801,0.34469,1.77179,1.17321,0.01146,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1046.76,1.72946,1.32728,0.00913,0.7471,0.66149,0.71831,0.35942,1.75957,1.10073,0.01151,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1189.07,1.71768,1.27372,0.00895,0.75882,0.64818,0.70975,0.36635,1.74158,1.14145,0.01124,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1335.74,1.68695,1.23363,0.00875,0.7657,0.67961,0.73947,0.38159,1.70087,1.07643,0.01093,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1482.49,1.67567,1.20339,0.00866,0.77735,0.68917,0.75217,0.39217,1.70122,1.00924,0.01099,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
