epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.565,1.71427,2.01799,0.01008,0.70758,0.62096,0.66176,0.32157,1.66744,1.13609,0.01332,0.00998288,0.00332763,0.00998288,0.00332763,0.00998288,0.00332763,0.00998288,0.00332763
2,332.658,1.64446,1.25236,0.00962,0.70614,0.63294,0.6709,0.33507,1.63877,1.13965,0.01357,0.019851,0.006617,0.019851,0.006617,0.019851,0.006617,0.019851,0.006617
3,481.167,1.67494,1.31342,0.01001,0.72494,0.58646,0.64427,0.30592,1.70704,1.24203,0.01443,0.0295871,0.00986237,0.0295871,0.00986237,0.0295871,0.00986237,0.0295871,0.00986237
4,625.513,1.68417,1.31914,0.01005,0.73486,0.62994,0.68378,0.33766,1.64457,1.14214,0.0138,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,766.942,1.65753,1.25007,0.0099,0.76689,0.66337,0.71745,0.35434,1.62355,1.06561,0.01337,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,906.429,1.62197,1.19752,0.00967,0.75394,0.65784,0.71647,0.36378,1.60347,1.09022,0.01327,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1045.83,1.60326,1.1548,0.00942,0.77256,0.67076,0.73333,0.37922,1.56354,1.02701,0.01291,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1184.98,1.57925,1.11858,0.00931,0.76912,0.70703,0.75301,0.39091,1.57737,0.96321,0.01286,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1323.56,1.5624,1.07637,0.00909,0.79353,0.69896,0.76176,0.3965,1.56615,0.95438,0.01286,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1462.39,1.53591,1.04989,0.00891,0.79872,0.71752,0.77563,0.41614,1.53377,0.93161,0.01268,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1603.32,1.5309,1.02432,0.00891,0.83136,0.71046,0.78238,0.42066,1.53224,0.90622,0.01244,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1743.68,1.51193,0.99732,0.00877,0.81474,0.73062,0.79269,0.43297,1.50457,0.88851,0.01228,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1885.39,1.49983,0.9764,0.00863,0.81915,0.73633,0.79879,0.43424,1.50844,0.87447,0.01225,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2026.01,1.48823,0.95731,0.00857,0.81956,0.74205,0.80406,0.43936,1.49823,0.85304,0.01219,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2166.75,1.47589,0.94214,0.00852,0.82229,0.75993,0.81206,0.44651,1.48534,0.84114,0.01216,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
