epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,251.996,1.70499,1.95453,0.01027,0.66869,0.60514,0.63116,0.30792,1.64575,1.21209,0.01359,0.00999238,0.00333079,0.00999238,0.00333079,0.00999238,0.00333079,0.00999238,0.00333079
2,482.381,1.64318,1.29665,0.00983,0.73748,0.6284,0.6787,0.33851,1.64132,1.09379,0.01356,0.0199264,0.00664214,0.0199264,0.00664214,0.0199264,0.00664214,0.0199264,0.00664214
3,706.466,1.68191,1.36774,0.01036,0.69655,0.57429,0.61875,0.29187,1.69793,1.28432,0.01445,0.0297944,0.00993148,0.0297944,0.00993148,0.0297944,0.00993148,0.0297944,0.00993148
4,927.056,1.70939,1.40075,0.01051,0.70284,0.61708,0.65561,0.31452,1.68479,1.19063,0.01437,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1148.99,1.67957,1.33581,0.01035,0.71656,0.63563,0.68251,0.33998,1.62651,1.11211,0.01374,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1371.84,1.6476,1.27225,0.01007,0.75792,0.65209,0.70795,0.35504,1.6205,1.069,0.01368,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1594.39,1.63455,1.23279,0.00995,0.78383,0.66676,0.73071,0.37219,1.60086,1.01724,0.01324,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1816.33,1.60932,1.17968,0.00967,0.79102,0.68015,0.74881,0.38767,1.58429,0.98432,0.01306,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2040.21,1.59313,1.1406,0.00944,0.79524,0.68947,0.75592,0.39199,1.57161,0.97636,0.01294,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2263.77,1.57012,1.11117,0.00936,0.7987,0.70379,0.76474,0.40253,1.5508,0.9614,0.01279,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2486.49,1.55759,1.0753,0.00918,0.77493,0.7256,0.77088,0.41233,1.52756,0.93608,0.01258,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2707.44,1.54273,1.06878,0.00917,0.81183,0.71944,0.78515,0.421,1.52338,0.9035,0.0124,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2931.57,1.52646,1.04088,0.00903,0.79894,0.73047,0.78645,0.41791,1.51643,0.89518,0.01222,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,3153.85,1.51056,1.02241,0.00888,0.82871,0.7336,0.79965,0.43305,1.4983,0.87945,0.01218,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3375.65,1.50493,1.00847,0.00891,0.82404,0.7336,0.79641,0.43263,1.49997,0.8682,0.01223,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3598.48,1.49841,0.99089,0.00888,0.82478,0.74237,0.80686,0.44702,1.48398,0.83477,0.01207,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
