epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,180.034,1.58827,2.01555,0.00884,0.67984,0.6229,0.65674,0.33965,1.46334,1.15091,0.01069,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769,0.00998308,0.00332769
2,334.915,1.53277,1.24589,0.00851,0.72773,0.63976,0.68189,0.34874,1.49853,1.07625,0.01107,0.0198512,0.00661706,0.0198512,0.00661706,0.0198512,0.00661706,0.0198512,0.00661706
3,485.077,1.57343,1.30205,0.00911,0.69852,0.57826,0.62543,0.31026,1.57077,1.25608,0.01206,0.0295873,0.00986243,0.0295873,0.00986243,0.0295873,0.00986243,0.0295873,0.00986243
4,628.948,1.59522,1.30698,0.00923,0.7185,0.62673,0.67659,0.34584,1.52609,1.13519,0.01165,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,772.443,1.57829,1.25396,0.0091,0.75217,0.64997,0.70184,0.36427,1.49184,1.09648,0.01139,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,914.043,1.54758,1.20323,0.00888,0.76961,0.67247,0.72644,0.37573,1.48505,1.00685,0.01114,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1055.25,1.53144,1.15282,0.00875,0.76658,0.696,0.73922,0.38786,1.46493,0.98764,0.01083,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1196.78,1.51178,1.09926,0.00854,0.77976,0.69195,0.75272,0.40113,1.43648,0.95737,0.01052,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1337.49,1.48592,1.06991,0.00833,0.79512,0.69825,0.76344,0.41171,1.44296,0.93413,0.01082,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1478.56,1.4653,1.04931,0.00818,0.78873,0.72455,0.77237,0.42219,1.41434,0.88929,0.0105,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
