epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3769,1.77751,3.86571,0.01056,0.66832,0.13816,0.14243,0.07788,1.67383,3.64903,0.01165,0.000210632,0.000210632,0.000210632
2,24.2821,1.65767,2.74182,0.01012,0.42174,0.30337,0.23295,0.11663,1.7345,3.85971,0.01285,0.000431536,0.000431536,0.000431536
3,34.4207,1.67311,2.21309,0.01015,0.47293,0.33245,0.31451,0.14473,1.8566,3.27767,0.01335,0.000650973,0.000650973,0.000650973
4,44.3396,1.73956,1.94567,0.01019,0.38315,0.37737,0.34898,0.15077,1.90746,2.57721,0.01471,0.000660397,0.000660397,0.000660397
5,53.6729,1.75121,1.77489,0.01027,0.51739,0.36675,0.37594,0.15836,1.90435,2.21974,0.01434,0.000658196,0.000658196,0.000658196
6,63.7653,1.76682,1.72119,0.01069,0.50153,0.46929,0.42786,0.1905,1.8352,1.85944,0.01384,0.000655994,0.000655994,0.000655994
7,73.3295,1.69371,1.57948,0.00991,0.47524,0.47914,0.43022,0.1936,1.81358,1.9029,0.0135,0.000653793,0.000653793,0.000653793
8,83.299,1.70737,1.51914,0.00986,0.50011,0.49293,0.44518,0.19364,1.82089,1.83499,0.0135,0.000651592,0.000651592,0.000651592
9,93.0101,1.68786,1.48098,0.01013,0.51605,0.43406,0.42857,0.18804,1.86097,1.78928,0.01351,0.000649391,0.000649391,0.000649391
10,101.234,1.66643,1.43055,0.00987,0.53637,0.43921,0.4205,0.18751,1.87146,1.82095,0.01394,0.00064719,0.00064719,0.00064719
11,109.522,1.64355,1.40133,0.00957,0.56029,0.47656,0.45707,0.19697,1.85521,1.76029,0.01394,0.000644989,0.000644989,0.000644989
12,119.442,1.70007,1.33838,0.00935,0.53281,0.49874,0.46352,0.20576,1.86669,1.73811,0.014,0.000642788,0.000642788,0.000642788
13,128.956,1.64297,1.34408,0.00973,0.52064,0.4753,0.45874,0.20402,1.79935,1.70396,0.01302,0.000640587,0.000640587,0.000640587
14,137.153,1.60383,1.25027,0.00907,0.54419,0.49484,0.46817,0.2086,1.86144,1.70089,0.01373,0.000638386,0.000638386,0.000638386
15,146.983,1.61512,1.28579,0.00985,0.53384,0.51294,0.48677,0.21065,1.84248,1.66611,0.01323,0.000636185,0.000636185,0.000636185
16,156.254,1.62807,1.23769,0.00879,0.55129,0.47686,0.4621,0.21144,1.85895,1.6863,0.01386,0.000633983,0.000633983,0.000633983
17,166.276,1.58105,1.21234,0.00904,0.57694,0.45656,0.46175,0.20627,1.8494,1.6842,0.01377,0.000631782,0.000631782,0.000631782
18,174.587,1.56066,1.16052,0.00926,0.53193,0.51653,0.47422,0.21733,1.87667,1.62817,0.01369,0.000629581,0.000629581,0.000629581
19,184.723,1.58362,1.16198,0.00891,0.49818,0.50276,0.46068,0.20531,1.85314,1.69559,0.01338,0.00062738,0.00062738,0.00062738
20,192.932,1.54657,1.11579,0.00867,0.51003,0.50997,0.47134,0.21776,1.85514,1.59555,0.01373,0.000625179,0.000625179,0.000625179
21,202.829,1.55778,1.12366,0.00918,0.5139,0.50557,0.46196,0.20136,1.87803,1.68686,0.01351,0.000622978,0.000622978,0.000622978
22,211.109,1.54035,1.08117,0.00861,0.61567,0.51232,0.50888,0.22828,1.85467,1.52515,0.01357,0.000620777,0.000620777,0.000620777
23,220.509,1.52431,1.0134,0.00866,0.56602,0.50025,0.48586,0.22296,1.87472,1.62804,0.01378,0.000618576,0.000618576,0.000618576
24,228.664,1.51115,1.02646,0.00848,0.5168,0.5083,0.47663,0.2142,1.86737,1.69353,0.01358,0.000616375,0.000616375,0.000616375
25,237.042,1.49889,0.98624,0.00846,0.58166,0.51963,0.5057,0.22785,1.84714,1.56552,0.01368,0.000614174,0.000614174,0.000614174
26,245.308,1.49203,0.98518,0.0085,0.58204,0.5054,0.49926,0.22623,1.84743,1.62567,0.01347,0.000611972,0.000611972,0.000611972
27,253.642,1.48924,0.98257,0.00844,0.53492,0.53942,0.49062,0.22354,1.85223,1.58534,0.01327,0.000609771,0.000609771,0.000609771
28,261.927,1.50373,0.98471,0.00833,0.5955,0.45121,0.46342,0.2086,1.90411,1.68289,0.0136,0.00060757,0.00060757,0.00060757
29,270.205,1.46154,0.95593,0.00791,0.52613,0.52197,0.47857,0.21923,1.87229,1.60272,0.0135,0.000605369,0.000605369,0.000605369
30,278.409,1.48264,0.93363,0.00813,0.58847,0.48921,0.48185,0.21646,1.87101,1.64549,0.0132,0.000603168,0.000603168,0.000603168
31,286.653,1.43967,0.89257,0.00771,0.56258,0.51869,0.49307,0.22692,1.91162,1.57791,0.01381,0.000600967,0.000600967,0.000600967
32,294.873,1.43727,0.88748,0.00773,0.53909,0.4895,0.47837,0.2176,1.90027,1.72626,0.014,0.000598766,0.000598766,0.000598766
33,303.175,1.44293,0.89925,0.00795,0.55788,0.5017,0.46974,0.20929,1.89123,1.70595,0.01402,0.000596565,0.000596565,0.000596565
34,311.471,1.42392,0.87558,0.00792,0.56572,0.54642,0.50504,0.22778,1.86938,1.55744,0.01339,0.000594364,0.000594364,0.000594364
35,319.591,1.3849,0.83147,0.00779,0.5706,0.53512,0.508,0.22828,1.8844,1.60236,0.01356,0.000592163,0.000592163,0.000592163
36,329.571,1.38644,0.81339,0.00777,0.59261,0.4922,0.49367,0.22047,1.92305,1.63222,0.01421,0.000589961,0.000589961,0.000589961
37,337.353,1.38282,0.82723,0.00773,0.54541,0.52923,0.48804,0.20996,1.92417,1.62832,0.01399,0.00058776,0.00058776,0.00058776
38,345.553,1.36649,0.8302,0.00779,0.55376,0.50111,0.47139,0.21567,1.9429,1.62391,0.01421,0.000585559,0.000585559,0.000585559
