epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.527,1.76892,3.6769,0.01018,0.69721,0.1523,0.16088,0.0857,1.61373,3.58009,0.01241,0.00021344,0.00021344,0.00021344
2,25.0627,1.64898,2.54175,0.0098,0.30278,0.33615,0.28638,0.12943,1.77892,2.85591,0.01486,0.000434335,0.000434335,0.000434335
3,35.9292,1.72393,2.11512,0.01045,0.38427,0.34915,0.3317,0.14671,1.77202,2.42138,0.01447,0.000653763,0.000653763,0.000653763
4,47.4464,1.76661,1.84184,0.01005,0.50221,0.39746,0.35998,0.15598,1.79397,2.22241,0.01489,0.000660397,0.000660397,0.000660397
5,57.9979,1.72587,1.69094,0.01028,0.42818,0.41717,0.37677,0.16431,1.83728,2.05577,0.01506,0.000658196,0.000658196,0.000658196
6,69.0044,1.73177,1.63518,0.00994,0.51881,0.41334,0.41107,0.18462,1.80756,1.93547,0.01496,0.000655994,0.000655994,0.000655994
7,79.4434,1.75496,1.56115,0.01001,0.46931,0.42911,0.39924,0.1694,1.89952,2.01849,0.01625,0.000653793,0.000653793,0.000653793
8,88.7929,1.70231,1.5306,0.01031,0.49786,0.44202,0.42304,0.18554,1.83732,1.87088,0.01582,0.000651592,0.000651592,0.000651592
9,99.7599,1.6568,1.4435,0.00988,0.5065,0.4774,0.45279,0.20219,1.8346,1.78794,0.01578,0.000649391,0.000649391,0.000649391
10,110.232,1.67625,1.40829,0.0096,0.52504,0.48057,0.46094,0.19881,1.8635,1.80585,0.01553,0.00064719,0.00064719,0.00064719
11,119.499,1.67087,1.41044,0.0101,0.51157,0.50502,0.47193,0.21129,1.81405,1.63589,0.01462,0.000644989,0.000644989,0.000644989
12,130.527,1.65658,1.35212,0.00986,0.53411,0.45977,0.43689,0.19314,1.84638,1.86834,0.01522,0.000642788,0.000642788,0.000642788
13,139.96,1.64646,1.38568,0.00987,0.5364,0.48069,0.46773,0.20809,1.8636,1.70514,0.01567,0.000640587,0.000640587,0.000640587
14,149.337,1.64045,1.30174,0.00969,0.56833,0.46386,0.45435,0.20543,1.8222,1.71719,0.01498,0.000638386,0.000638386,0.000638386
15,158.705,1.62414,1.32332,0.00958,0.51814,0.47035,0.44814,0.20105,1.85683,1.74245,0.01549,0.000636185,0.000636185,0.000636185
16,167.982,1.61877,1.26827,0.00943,0.53629,0.46385,0.44724,0.19992,1.86485,1.78376,0.01597,0.000633983,0.000633983,0.000633983
17,177.482,1.60122,1.23787,0.00935,0.53444,0.49129,0.46975,0.21022,1.81592,1.69962,0.01497,0.000631782,0.000631782,0.000631782
18,187.391,1.60468,1.19252,0.00914,0.54895,0.48957,0.48421,0.20793,1.84346,1.63767,0.01504,0.000629581,0.000629581,0.000629581
19,196.626,1.58408,1.18463,0.00953,0.52411,0.47912,0.45944,0.2024,1.88615,1.70066,0.01578,0.00062738,0.00062738,0.00062738
20,205.848,1.58636,1.13007,0.00924,0.56391,0.45848,0.4585,0.20167,1.88728,1.65265,0.01549,0.000625179,0.000625179,0.000625179
21,215.203,1.57948,1.12264,0.00902,0.5376,0.46289,0.44956,0.19508,1.87008,1.7115,0.01538,0.000622978,0.000622978,0.000622978
22,224.515,1.54982,1.1376,0.009,0.55722,0.48018,0.46441,0.20055,1.87422,1.64276,0.01533,0.000620777,0.000620777,0.000620777
23,233.203,1.56662,1.08824,0.0089,0.57229,0.48385,0.47457,0.21097,1.88088,1.62304,0.01552,0.000618576,0.000618576,0.000618576
24,242.671,1.53238,1.06847,0.00866,0.5973,0.4944,0.49188,0.21372,1.85986,1.63907,0.01523,0.000616375,0.000616375,0.000616375
25,253.126,1.5241,1.04957,0.00887,0.60013,0.47581,0.48731,0.21493,1.8716,1.60912,0.01503,0.000614174,0.000614174,0.000614174
26,264.171,1.521,1.00531,0.00842,0.57251,0.48246,0.46566,0.20962,1.87074,1.63519,0.01521,0.000611972,0.000611972,0.000611972
27,273.448,1.49749,0.9979,0.00867,0.53586,0.50531,0.47228,0.20809,1.89362,1.62799,0.01578,0.000609771,0.000609771,0.000609771
28,282.759,1.47806,0.97483,0.00834,0.56108,0.51541,0.47697,0.20888,1.8519,1.62244,0.01482,0.00060757,0.00060757,0.00060757
29,291.972,1.50925,1.00131,0.00892,0.60161,0.49349,0.48295,0.21221,1.88733,1.59935,0.01533,0.000605369,0.000605369,0.000605369
30,300.749,1.49718,0.96418,0.00824,0.56254,0.48319,0.4771,0.21035,1.8985,1.63555,0.0155,0.000603168,0.000603168,0.000603168
