epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,58.4779,1.87732,2.70905,0.01216,0.41528,0.43004,0.38232,0.16623,1.92069,1.86164,0.01429,0.00995215,0.00331738,0.00995215,0.00331738,0.00995215,0.00331738,0.00995215,0.00331738
2,110.756,1.66569,1.49537,0.01055,0.44725,0.45383,0.39811,0.1839,1.89759,1.87651,0.01383,0.0198863,0.00662877,0.0198863,0.00662877,0.0198863,0.00662877,0.0198863,0.00662877
3,161.755,1.64269,1.33238,0.01029,0.44389,0.35948,0.34306,0.15468,2.00009,2.11935,0.01491,0.0297545,0.00991816,0.0297545,0.00991816,0.0297545,0.00991816,0.0297545,0.00991816
4,211.577,1.6301,1.28407,0.0103,0.42008,0.43523,0.38386,0.16945,2.05029,1.85294,0.01484,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,261.177,1.57895,1.13875,0.01022,0.48482,0.41228,0.3886,0.16557,2.07367,1.95512,0.01553,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,310.921,1.50656,1.00942,0.00956,0.49469,0.46821,0.42417,0.18386,2.04897,1.93744,0.01524,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,360.598,1.44883,0.9329,0.009,0.5108,0.44019,0.42854,0.19264,2.0276,1.78462,0.01489,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,412.708,1.39277,0.84761,0.00854,0.56225,0.44092,0.42503,0.18482,2.04466,1.93344,0.01497,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,462.485,1.33941,0.78877,0.00813,0.49967,0.45816,0.39367,0.16859,2.09233,1.99017,0.01539,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,512.164,1.29761,0.75394,0.00788,0.56472,0.44377,0.43636,0.18878,2.10981,1.95684,0.01586,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,561.84,1.24952,0.69865,0.00753,0.51815,0.43772,0.40253,0.17118,2.11811,2.02863,0.0156,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,611.551,1.21752,0.67551,0.00728,0.55523,0.43424,0.42267,0.17781,2.14208,1.99113,0.01575,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,661.259,1.17771,0.64609,0.00708,0.53002,0.46322,0.40837,0.17866,2.06235,1.99435,0.01552,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,711.172,1.15954,0.62777,0.00692,0.5969,0.43698,0.41665,0.17721,2.09846,1.94275,0.01557,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,760.867,1.13162,0.60647,0.00672,0.53147,0.47545,0.41914,0.18318,2.09467,2.02874,0.0158,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,810.571,1.09251,0.57439,0.0065,0.54702,0.44541,0.41269,0.18014,2.12408,2.05859,0.01602,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,860.346,1.07799,0.55895,0.00632,0.58637,0.42505,0.41838,0.18306,2.10631,2.0676,0.01579,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
