epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,194.769,1.53609,2.76708,0.01091,0.46499,0.3626,0.33778,0.19746,1.473,1.67221,0.01312,0.00998643,0.00332881,0.00998643,0.00332881,0.00998643,0.00332881,0.00998643,0.00332881
2,336.029,1.49125,1.56542,0.01067,0.45196,0.3864,0.35383,0.20018,1.51383,1.6228,0.0142,0.0197886,0.00659619,0.0197886,0.00659619,0.0197886,0.00659619,0.0197886,0.00659619
3,472.87,1.55566,1.65375,0.0113,0.49981,0.30888,0.29114,0.15786,1.65463,2.20726,0.01647,0.0293927,0.00979757,0.0293927,0.00979757,0.0293927,0.00979757,0.0293927,0.00979757
4,608.281,1.59549,1.7319,0.01193,0.52122,0.35911,0.34194,0.1879,1.60646,1.68331,0.01585,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,742.797,1.55778,1.61422,0.01147,0.54578,0.39574,0.41035,0.23098,1.53145,1.46219,0.01448,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,881.518,1.52677,1.5311,0.01115,0.54026,0.37528,0.35183,0.20581,1.48276,1.88351,0.01392,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1044.07,1.50977,1.46474,0.01089,0.56404,0.42013,0.42198,0.24658,1.46447,1.38155,0.01372,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1210.28,1.4994,1.41707,0.01081,0.48325,0.43006,0.39233,0.2252,1.47606,1.98386,0.01365,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1375.24,1.47646,1.38235,0.01064,0.51179,0.43384,0.43183,0.25244,1.45716,1.36526,0.0134,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1547.52,1.46035,1.33951,0.01061,0.57622,0.47384,0.49306,0.2917,1.40874,1.24682,0.01282,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
