epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7548,1.76257,3.98017,0.01281,0.19869,0.13687,0.11399,0.0627,1.7276,4.00643,0.01255,0.000215981,0.000215981,0.000215981
2,23.4417,1.66751,2.7771,0.01172,0.31682,0.24311,0.20703,0.09685,1.80977,2.86154,0.0143,0.000436868,0.000436868,0.000436868
3,32.3859,1.73766,2.22458,0.01196,0.37123,0.32719,0.28704,0.12119,1.85983,2.43785,0.01491,0.000656287,0.000656287,0.000656287
4,41.1655,1.75722,2.00349,0.01232,0.48055,0.38115,0.35457,0.15485,1.87172,2.13944,0.01428,0.000660397,0.000660397,0.000660397
5,50.0088,1.7289,1.89441,0.01247,0.50424,0.40648,0.36858,0.1597,1.84189,2.05886,0.01426,0.000658196,0.000658196,0.000658196
6,58.7316,1.71891,1.8102,0.01211,0.42464,0.40151,0.36439,0.15714,1.89849,1.98396,0.01503,0.000655994,0.000655994,0.000655994
7,66.9309,1.732,1.73436,0.01193,0.45809,0.43276,0.3818,0.16008,1.86751,2.00557,0.01497,0.000653793,0.000653793,0.000653793
8,75.6526,1.70223,1.67626,0.01174,0.47233,0.44811,0.40556,0.17915,1.84142,1.87771,0.01461,0.000651592,0.000651592,0.000651592
9,84.7616,1.6901,1.64824,0.01169,0.48336,0.43287,0.4186,0.18063,1.85168,1.85781,0.01438,0.000649391,0.000649391,0.000649391
10,94.2307,1.68993,1.62038,0.0115,0.47268,0.44865,0.41752,0.18581,1.8276,1.82254,0.01423,0.00064719,0.00064719,0.00064719
11,102.97,1.67238,1.63228,0.0118,0.5092,0.46712,0.43261,0.18718,1.83558,1.8023,0.01404,0.000644989,0.000644989,0.000644989
12,111.63,1.67724,1.58102,0.01134,0.5006,0.46227,0.43042,0.1833,1.849,1.80841,0.01441,0.000642788,0.000642788,0.000642788
13,119.853,1.66638,1.5443,0.01151,0.51136,0.41961,0.40821,0.17927,1.8355,1.82655,0.01446,0.000640587,0.000640587,0.000640587
14,127.965,1.65043,1.53888,0.01199,0.53054,0.45135,0.42449,0.18747,1.82691,1.76707,0.01403,0.000638386,0.000638386,0.000638386
15,136.608,1.64283,1.49113,0.01125,0.47811,0.45576,0.43719,0.18738,1.83354,1.76125,0.01407,0.000636185,0.000636185,0.000636185
16,144.806,1.64482,1.50074,0.01131,0.49143,0.46122,0.43532,0.19623,1.83034,1.73928,0.01407,0.000633983,0.000633983,0.000633983
