epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.526,1.90057,2.74623,0.00992,0.68225,0.57104,0.62051,0.29949,1.85212,1.42858,0.01214,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581,0.00997743,0.00332581
2,206.712,1.78445,1.52925,0.00919,0.66473,0.56641,0.60417,0.28522,1.84628,1.43673,0.0122,0.0197797,0.00659322,0.0197797,0.00659322,0.0197797,0.00659322,0.0197797,0.00659322
3,289.657,1.83456,1.6227,0.00985,0.61806,0.49649,0.52734,0.24257,1.93096,1.65672,0.01338,0.0293839,0.00979462,0.0293839,0.00979462,0.0293839,0.00979462,0.0293839,0.00979462
4,370.385,1.83447,1.62382,0.00966,0.68916,0.57107,0.61535,0.29107,1.88311,1.43601,0.01266,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,451.558,1.80573,1.51577,0.00945,0.68527,0.57966,0.62061,0.29754,1.83529,1.45226,0.01246,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,532.013,1.7778,1.4663,0.00945,0.7267,0.59154,0.65512,0.32409,1.8092,1.28895,0.01218,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,613.481,1.76263,1.40404,0.00934,0.73697,0.63042,0.68279,0.34149,1.80126,1.24728,0.01215,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,694.235,1.74317,1.35199,0.00906,0.74596,0.63793,0.69576,0.35575,1.77084,1.23092,0.01192,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,775.049,1.71349,1.30418,0.00895,0.76293,0.66576,0.72337,0.37366,1.7538,1.13425,0.01171,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,855.42,1.70506,1.26639,0.00886,0.7754,0.6694,0.73079,0.37449,1.74921,1.11573,0.01149,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,936.449,1.6982,1.24498,0.00884,0.78124,0.681,0.74085,0.38499,1.74664,1.07233,0.01157,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1017.17,1.68155,1.2171,0.0087,0.77798,0.67345,0.74251,0.38709,1.7268,1.08021,0.01127,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1098.03,1.66628,1.18457,0.00853,0.79063,0.69693,0.76092,0.40346,1.71859,1.04553,0.01137,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1179.11,1.66169,1.15855,0.00859,0.78692,0.70722,0.76564,0.406,1.7049,1.04577,0.01125,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1260.35,1.64672,1.14019,0.00842,0.78915,0.69017,0.76033,0.39865,1.71262,1.03028,0.011,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1340.67,1.64103,1.11968,0.00835,0.81394,0.7143,0.78597,0.4252,1.68073,0.98657,0.01092,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1421.57,1.61809,1.09227,0.00822,0.81615,0.70996,0.78173,0.41866,1.7115,0.98177,0.01134,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1502.21,1.61175,1.07492,0.0081,0.802,0.72894,0.78604,0.42385,1.67185,0.98873,0.01066,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1582.45,1.60776,1.07031,0.00814,0.81542,0.73498,0.80145,0.43857,1.65507,0.93657,0.01079,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1663.35,1.59348,1.0406,0.00801,0.82194,0.71589,0.79032,0.43161,1.65828,0.9775,0.01053,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1743.45,1.58763,1.02715,0.00797,0.82531,0.73561,0.80544,0.44477,1.64003,0.92568,0.01049,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1823.87,1.57046,1.02491,0.00795,0.84311,0.72747,0.80615,0.44847,1.62575,0.92765,0.01057,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1904.91,1.57235,1.0135,0.00783,0.82883,0.75026,0.81177,0.45323,1.64381,0.89637,0.01061,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
