epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9006,1.79972,4.9575,0.0123,0.32528,0.1147,0.1068,0.06021,1.60398,4.11249,0.01688,0.000212667,0.000212667,0.000212667
2,24.6031,1.65767,3.42993,0.01201,0.46985,0.27312,0.21057,0.10151,1.66161,3.32059,0.01846,0.000433565,0.000433565,0.000433565
3,31.0541,1.74465,2.53347,0.01145,0.47762,0.30487,0.2693,0.12318,1.64732,2.61943,0.01704,0.000652995,0.000652995,0.000652995
4,37.2697,1.80192,2.12547,0.01141,0.41319,0.35722,0.31115,0.14007,1.72358,2.27796,0.01934,0.000660397,0.000660397,0.000660397
5,43.4317,1.68488,2.03005,0.01141,0.42676,0.35418,0.34143,0.14855,1.77773,2.09719,0.02041,0.000658196,0.000658196,0.000658196
6,49.7651,1.7306,1.84336,0.01181,0.41399,0.40528,0.37866,0.1679,1.75942,2.00845,0.02028,0.000655994,0.000655994,0.000655994
7,56.0769,1.74022,1.77325,0.01232,0.41303,0.44686,0.38002,0.16691,1.70819,1.86019,0.01828,0.000653793,0.000653793,0.000653793
8,62.0323,1.75646,1.66918,0.01157,0.42967,0.44634,0.39926,0.17495,1.67021,1.90944,0.01748,0.000651592,0.000651592,0.000651592
9,68.9354,1.69952,1.61409,0.01158,0.46391,0.43227,0.4026,0.17588,1.74405,1.81763,0.01843,0.000649391,0.000649391,0.000649391
10,75.599,1.74263,1.63929,0.01196,0.49705,0.45416,0.4189,0.1833,1.73603,1.84934,0.01892,0.00064719,0.00064719,0.00064719
11,82.1734,1.71574,1.56908,0.01229,0.48331,0.44436,0.41698,0.18448,1.74211,1.87662,0.0206,0.000644989,0.000644989,0.000644989
12,89.0183,1.72262,1.51504,0.01159,0.48673,0.46714,0.43748,0.1893,1.78417,2.02397,0.02007,0.000642788,0.000642788,0.000642788
13,95.1427,1.69912,1.49016,0.0118,0.51415,0.46786,0.43439,0.19697,1.69957,1.69957,0.01851,0.000640587,0.000640587,0.000640587
14,101.333,1.68923,1.42403,0.01092,0.51376,0.4819,0.44564,0.1939,1.72032,1.68968,0.01849,0.000638386,0.000638386,0.000638386
