epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7992,1.79932,3.82704,0.01,0.29833,0.19142,0.14633,0.0764,1.67359,3.80096,0.01187,0.000215596,0.000215596,0.000215596
2,32.3132,1.6907,2.53992,0.0093,0.47538,0.30481,0.25386,0.1198,1.75679,2.86344,0.01339,0.000436484,0.000436484,0.000436484
3,40.9015,1.7327,2.06839,0.00971,0.39012,0.37017,0.33911,0.15708,1.7648,2.18677,0.01355,0.000655905,0.000655905,0.000655905
4,49.4079,1.73414,1.85053,0.01003,0.41465,0.40615,0.3548,0.15454,1.82553,2.18731,0.01428,0.000660397,0.000660397,0.000660397
5,57.0733,1.74581,1.71962,0.00985,0.45139,0.439,0.40116,0.17816,1.81954,1.88809,0.01424,0.000658196,0.000658196,0.000658196
6,65.3438,1.74452,1.66511,0.01025,0.47419,0.44676,0.4342,0.19182,1.79067,1.78556,0.0138,0.000655994,0.000655994,0.000655994
7,73.7405,1.72556,1.57364,0.0096,0.48413,0.46005,0.42208,0.19053,1.80115,1.75523,0.0139,0.000653793,0.000653793,0.000653793
8,81.5543,1.72133,1.56778,0.00985,0.46261,0.46857,0.41891,0.1863,1.83868,1.75514,0.01429,0.000651592,0.000651592,0.000651592
9,89.288,1.69444,1.50422,0.00956,0.49053,0.48,0.43545,0.19526,1.79568,1.73371,0.01382,0.000649391,0.000649391,0.000649391
10,97.4387,1.66671,1.46347,0.00954,0.48415,0.4608,0.4263,0.19106,1.82803,1.83798,0.01412,0.00064719,0.00064719,0.00064719
11,105.299,1.68136,1.43063,0.00935,0.50976,0.46954,0.43927,0.1962,1.81465,1.72882,0.01381,0.000644989,0.000644989,0.000644989
12,113.855,1.63744,1.39238,0.00971,0.49696,0.49483,0.45167,0.19613,1.82556,1.66706,0.01396,0.000642788,0.000642788,0.000642788
13,121.705,1.65384,1.39053,0.00938,0.48058,0.50019,0.45729,0.20502,1.78764,1.66301,0.01353,0.000640587,0.000640587,0.000640587
14,130.635,1.64087,1.36052,0.00946,0.47942,0.48562,0.44904,0.19841,1.845,1.71487,0.01428,0.000638386,0.000638386,0.000638386
15,138.405,1.65323,1.38042,0.00952,0.50962,0.48913,0.45253,0.20475,1.81643,1.71935,0.01411,0.000636185,0.000636185,0.000636185
16,146.165,1.63695,1.33923,0.00919,0.54466,0.47566,0.46884,0.21083,1.80873,1.71214,0.01392,0.000633983,0.000633983,0.000633983
17,154.432,1.63203,1.30114,0.00896,0.51452,0.5051,0.46825,0.20707,1.82908,1.61408,0.01375,0.000631782,0.000631782,0.000631782
18,162.144,1.61104,1.26119,0.00895,0.56668,0.49188,0.47965,0.21763,1.8218,1.5836,0.01363,0.000629581,0.000629581,0.000629581
19,170.417,1.59244,1.22855,0.00905,0.53198,0.50297,0.47229,0.20937,1.8422,1.59083,0.01406,0.00062738,0.00062738,0.00062738
20,178.183,1.60571,1.21797,0.00872,0.52837,0.50501,0.47433,0.21478,1.79837,1.6076,0.01379,0.000625179,0.000625179,0.000625179
21,185.906,1.58371,1.21072,0.00859,0.55072,0.51618,0.4773,0.22013,1.83063,1.61795,0.01379,0.000622978,0.000622978,0.000622978
22,194.221,1.5739,1.18788,0.00886,0.53808,0.51354,0.46972,0.20238,1.84514,1.66756,0.01414,0.000620777,0.000620777,0.000620777
23,201.987,1.5741,1.18349,0.00872,0.52294,0.52622,0.46289,0.20291,1.84119,1.6883,0.01396,0.000618576,0.000618576,0.000618576
24,209.705,1.57209,1.16362,0.00885,0.50351,0.50089,0.45871,0.20621,1.81191,1.66005,0.01382,0.000616375,0.000616375,0.000616375
25,217.455,1.56676,1.13614,0.00863,0.56127,0.4978,0.47167,0.21362,1.83928,1.55956,0.01379,0.000614174,0.000614174,0.000614174
26,225.276,1.55022,1.1065,0.00817,0.61048,0.49914,0.48701,0.21918,1.83063,1.62837,0.01362,0.000611972,0.000611972,0.000611972
27,233.133,1.55805,1.10237,0.00835,0.54692,0.49632,0.47298,0.21426,1.84118,1.62629,0.01388,0.000609771,0.000609771,0.000609771
28,240.866,1.5485,1.08505,0.0083,0.58402,0.47126,0.4659,0.20875,1.85654,1.64537,0.01415,0.00060757,0.00060757,0.00060757
29,248.721,1.51356,1.07305,0.0084,0.54389,0.5079,0.46205,0.20606,1.85434,1.63446,0.01407,0.000605369,0.000605369,0.000605369
30,256.398,1.54073,1.08159,0.00846,0.56458,0.46714,0.45388,0.19941,1.88539,1.72521,0.01417,0.000603168,0.000603168,0.000603168
31,264.221,1.52672,1.06248,0.00842,0.55156,0.50264,0.47464,0.21469,1.86584,1.56922,0.01395,0.000600967,0.000600967,0.000600967
32,271.888,1.53227,1.03288,0.00837,0.53834,0.48531,0.46687,0.20849,1.86136,1.62937,0.01428,0.000598766,0.000598766,0.000598766
33,279.577,1.50304,1.02946,0.00821,0.52601,0.50014,0.45806,0.20269,1.84899,1.63662,0.01397,0.000596565,0.000596565,0.000596565
34,287.287,1.50047,1.00133,0.00807,0.54501,0.49653,0.46857,0.20597,1.87922,1.58988,0.01448,0.000594364,0.000594364,0.000594364
35,294.979,1.49022,0.97483,0.00845,0.58405,0.47895,0.46794,0.21312,1.85087,1.63209,0.01412,0.000592163,0.000592163,0.000592163
36,302.613,1.46838,0.95489,0.00805,0.5556,0.49708,0.47724,0.21451,1.86849,1.58637,0.0143,0.000589961,0.000589961,0.000589961
37,310.667,1.48479,0.95213,0.00789,0.57647,0.47879,0.45699,0.20141,1.87291,1.66089,0.01427,0.00058776,0.00058776,0.00058776
38,318.556,1.48272,0.94287,0.0078,0.54786,0.53277,0.47986,0.20564,1.88668,1.65804,0.01408,0.000585559,0.000585559,0.000585559
39,326.655,1.45576,0.93761,0.00794,0.59054,0.50665,0.4886,0.21594,1.85815,1.62654,0.01412,0.000583358,0.000583358,0.000583358
40,334.922,1.44729,0.92453,0.0076,0.5906,0.49527,0.47337,0.20915,1.9293,1.5767,0.01458,0.000581157,0.000581157,0.000581157
41,343.221,1.4549,0.92662,0.00801,0.57252,0.5032,0.48025,0.2121,1.88811,1.54368,0.01436,0.000578956,0.000578956,0.000578956
42,351.042,1.45748,0.94193,0.0079,0.5494,0.5074,0.45279,0.20368,1.9067,1.56779,0.01424,0.000576755,0.000576755,0.000576755
43,358.731,1.44414,0.90279,0.00768,0.5693,0.50827,0.47145,0.20281,1.93157,1.5544,0.01445,0.000574554,0.000574554,0.000574554
44,366.376,1.43344,0.89841,0.00774,0.57894,0.48888,0.46973,0.20211,1.92963,1.59491,0.0145,0.000572353,0.000572353,0.000572353
45,374.187,1.45402,0.88984,0.00737,0.54461,0.5304,0.46532,0.20031,1.90875,1.62091,0.01448,0.000570152,0.000570152,0.000570152
46,381.843,1.44013,0.87231,0.00751,0.59352,0.4992,0.47005,0.20565,1.89874,1.58613,0.01463,0.00056795,0.00056795,0.00056795
