file,model,class_name,present,parse_error
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,person,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,helmet,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,gloves,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,boots,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,vest,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-helmet,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-gloves,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-boots,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-vest,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,person,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,helmet,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,gloves,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,boots,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,vest,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,person,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,helmet,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,gloves,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,boots,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,vest,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,no-helmet,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,no-gloves,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,no-boots,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,no-vest,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,person,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,helmet,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,gloves,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,boots,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,vest,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,no-helmet,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,no-gloves,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,no-boots,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,no-vest,False,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,person,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,helmet,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,gloves,True,False
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,boots,True,False
