file,model,class_name,present,parse_error
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,person,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,helmet,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-helmet,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,person,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,helmet,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,vest,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,no-helmet,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,no-gloves,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,no-boots,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,no-vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,person,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,helmet,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,boots,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,no-helmet,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,no-gloves,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,no-boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,no-vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemma4,person,True,False
