file,model,class_name,present,parse_error
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,person,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,helmet,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-helmet,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,no-vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,person,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,helmet,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,gloves,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,boots,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,vest,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,no-helmet,False,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,no-gloves,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,no-boots,True,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemini,no-vest,True,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,person,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,helmet,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,gloves,True,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,boots,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,vest,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,no-helmet,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,no-gloves,True,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,no-boots,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,no-vest,False,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gemini,person,True,False
