file,model,class_name,present,parse_error
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,person,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,helmet,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,no-helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,no-gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,no-boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,yolo,no-vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,person,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,helmet,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,vest,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,no-helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,no-gloves,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,no-boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,ollama,no-vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,person,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,helmet,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,no-helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,no-gloves,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,no-boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,qwen3-vl,no-vest,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,person,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,no-helmet,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,no-gloves,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,no-boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemma4,no-vest,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,person,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,helmet,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,no-helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,no-gloves,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,no-boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,minicpm-v,no-vest,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,person,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,no-helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,no-gloves,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,no-boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,claude,no-vest,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,person,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,helmet,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,gloves,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,boots,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,vest,False,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,no-helmet,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,no-gloves,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,no-boots,True,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gemini,no-vest,True,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,person,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,helmet,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,gloves,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,boots,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,vest,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,no-helmet,True,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,no-gloves,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,no-boots,True,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,yolo,no-vest,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,person,True,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,helmet,True,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,gloves,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,boots,True,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,vest,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,no-helmet,False,False
anuragraj03__frame00021_png.rf.6351ffaa10ce9e287cc0f1d232aee57e,ollama,no-gloves,False,False
