file,model,class_name,confidence,x1,y1,x2,y2
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,helmet,0.8862192034721375,0.4416999816894531,0.35552158355712893,0.4900191783905029,0.4448878765106201
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,helmet,0.8796907663345337,0.729665994644165,0.43993391990661623,0.7867332458496094,0.5324960708618164
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,helmet,0.8775490522384644,0.7362653255462647,0.38450040817260744,0.78129563331604,0.4574429512023926
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,helmet,0.8712739944458008,0.19825165271759032,0.5555074214935303,0.24523916244506835,0.6612295150756836
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,helmet,0.8613972067832947,0.2530100345611572,0.42919082641601564,0.2947260856628418,0.5106692790985108
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,no-boots,0.836371898651123,0.6448818683624268,0.7086727619171143,0.6988541126251221,0.7565147876739502
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,no-boots,0.8303918242454529,0.6641039371490478,0.7379007339477539,0.7136437892913818,0.7763105392456054
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,boots,0.8241090774536133,0.22276544570922852,0.7869903087615967,0.25955562591552733,0.8275903701782227
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,boots,0.7556126713752747,0.26057651042938235,0.7751092433929443,0.28889055252075196,0.8069519996643066
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,boots,0.6860610246658325,0.417142391204834,0.7807834625244141,0.45116415023803713,0.8246966361999511
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,yolo,boots,0.4627368152141571,0.4437058448791504,0.7346971988677978,0.48584675788879395,0.7873847484588623
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,person,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,no-helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,no-gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,no-boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,person,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,no-vest,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,person,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,vest,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,no-helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,no-gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,person,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,no-vest,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,person,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,vest,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,no-gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,person,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,no-helmet,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,no-gloves,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,no-boots,,,,,
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,no-vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,yolo,no-boots,0.9284675717353821,0.7506561279296875,0.677603006362915,0.789223313331604,0.7180523872375488
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,yolo,boots,0.9284593462944031,0.8745609521865845,0.7582034269968668,0.9108778834342957,0.8439180056254069
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,yolo,boots,0.8864954710006714,0.8481307029724121,0.7596578598022461,0.8798791170120239,0.8304295539855957
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,yolo,no-boots,0.6915622353553772,0.797261655330658,0.720346212387085,0.8258135914802551,0.7605358759562174
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,person,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,helmet,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,no-helmet,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,no-gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,no-boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,no-vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,person,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,no-helmet,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,no-gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,no-boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,no-vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemma4,person,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemma4,boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemma4,vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemma4,no-gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,minicpm-v,person,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,minicpm-v,gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,minicpm-v,boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,minicpm-v,no-vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,claude,person,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,claude,boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,claude,no-helmet,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,claude,no-gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,claude,no-vest,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemini,person,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemini,no-helmet,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemini,no-gloves,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemini,no-boots,,,,,
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemini,no-vest,,,,,
ketakichalke-boots__image904,yolo,vest,0.9241310954093933,0.47028360366821287,0.24438838958740233,0.7378225326538086,0.48877801895141604
ketakichalke-boots__image904,yolo,person,0.9095891714096069,0.41562228202819823,0.10201873779296874,0.8146721839904785,0.7957580089569092
ketakichalke-boots__image904,yolo,boots,0.8517449498176575,0.4950437068939209,0.6050206184387207,0.6169264793395997,0.751591682434082
ketakichalke-boots__image904,yolo,boots,0.8461423516273499,0.6578646659851074,0.604093360900879,0.7547007083892823,0.7643022060394287
ketakichalke-boots__image904,yolo,gloves,0.8382241725921631,0.6887834548950196,0.4623894691467285,0.7822698593139649,0.539166259765625
ketakichalke-boots__image904,yolo,helmet,0.820178210735321,0.5120119571685791,0.1333518147468567,0.6674037456512452,0.20803816318511964
ketakichalke-boots__image904,yolo,gloves,0.8101876378059387,0.4499951362609863,0.46990337371826174,0.5149847507476807,0.5330626487731933
ketakichalke-boots__image904,ollama,person,,,,,
ketakichalke-boots__image904,ollama,helmet,,,,,
ketakichalke-boots__image904,ollama,gloves,,,,,
ketakichalke-boots__image904,ollama,boots,,,,,
ketakichalke-boots__image904,ollama,vest,,,,,
ketakichalke-boots__image904,qwen3-vl,person,,,,,
ketakichalke-boots__image904,qwen3-vl,helmet,,,,,
ketakichalke-boots__image904,qwen3-vl,gloves,,,,,
ketakichalke-boots__image904,qwen3-vl,boots,,,,,
ketakichalke-boots__image904,qwen3-vl,vest,,,,,
ketakichalke-boots__image904,gemma4,person,,,,,
ketakichalke-boots__image904,gemma4,helmet,,,,,
ketakichalke-boots__image904,gemma4,gloves,,,,,
ketakichalke-boots__image904,gemma4,boots,,,,,
ketakichalke-boots__image904,gemma4,vest,,,,,
ketakichalke-boots__image904,minicpm-v,person,,,,,
ketakichalke-boots__image904,minicpm-v,helmet,,,,,
ketakichalke-boots__image904,minicpm-v,gloves,,,,,
ketakichalke-boots__image904,minicpm-v,boots,,,,,
ketakichalke-boots__image904,minicpm-v,vest,,,,,
ketakichalke-boots__image904,claude,person,,,,,
ketakichalke-boots__image904,claude,helmet,,,,,
ketakichalke-boots__image904,claude,gloves,,,,,
ketakichalke-boots__image904,claude,boots,,,,,
ketakichalke-boots__image904,claude,vest,,,,,
ketakichalke-boots__image904,gemini,person,,,,,
ketakichalke-boots__image904,gemini,helmet,,,,,
ketakichalke-boots__image904,gemini,gloves,,,,,
ketakichalke-boots__image904,gemini,boots,,,,,
ketakichalke-boots__image904,gemini,vest,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,person,0.9818628430366516,0.539194393157959,0.33286855220794676,0.9989736557006836,1.0
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,person,0.9716074466705322,0.5529861927032471,0.0,0.9993481636047363,0.32983806133270266
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,person,0.9600856304168701,0.0,0.00046646595001220703,0.40561604499816895,0.3301298379898071
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,person,0.9544258117675781,0.2123265266418457,0.0006779789924621582,0.539052677154541,0.3301048278808594
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,no-vest,0.9490164518356323,0.5386585235595703,0.7312387466430664,1.0,0.9998085975646973
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,no-vest,0.9448165893554688,0.6551370620727539,0.001048433780670166,0.9802395820617675,0.3317704200744629
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,no-helmet,0.9190601706504822,0.538446044921875,0.33362255096435545,0.8683005332946777,0.5154582977294921
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,no-helmet,0.9064972996711731,0.016067361831665038,0.007243132591247559,0.2687868595123291,0.11343593597412109
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,person,0.8202689290046692,0.3744200229644775,0.0,0.5409836292266845,0.13969322443008422
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,no-helmet,0.6691216826438904,0.4378056526184082,0.20063428878784179,0.5409462928771973,0.254577112197876
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,person,0.42010459303855896,0.0012151181697845459,0.0006043463945388794,0.11615712642669677,0.09057338833808899
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,yolo,no-helmet,0.3849124312400818,0.3761107921600342,0.00019628405570983886,0.5394524574279785,0.08081725835800171
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,person,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,helmet,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,gloves,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,boots,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,vest,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,no-helmet,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,no-gloves,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,no-boots,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,ollama,no-vest,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,qwen3-vl,person,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,qwen3-vl,no-helmet,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,gemma4,person,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,gemma4,helmet,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,gemma4,gloves,,,,,
snehilsanyal-main__video_CDC-YOUTUBE_mp4-50_jpg.rf.4912d4cb665e1ab8243c28d9c3039ae8,gemma4,vest,,,,,
