file,model,person_idx,helmet,vest,gloves,boots
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,0,False,False,False,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,1,False,False,False,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,ollama,2,False,False,False,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,0,True,False,True,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,1,True,False,True,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,2,True,False,False,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,qwen3-vl,3,True,False,False,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,0,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,1,True,True,False,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,2,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemma4,3,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,0,True,False,False,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,1,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,2,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,minicpm-v,3,True,True,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,0,True,True,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,1,True,True,False,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,claude,2,True,True,False,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,0,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,1,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,2,True,False,True,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,3,True,False,False,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gemini,4,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,0,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,ollama,1,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,0,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,qwen3-vl,1,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemma4,0,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,gemma4,1,False,False,False,False
anuragraj03__frame1364_jpg.rf.b1f3f9c23e4d85340bd0e0275f4027a4,minicpm-v,0,False,False,False,True
