epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.484,3.43109,4.44718,4.16322,0.00041,0.04233,0.00093,0.00022,3.66815,4.70989,4.10904,0.000235098,0.000235098,0.000235098
2,818.247,3.08514,3.83591,3.57191,0.00315,0.0911,0.00088,0.00014,3.42683,4.8733,4.01575,0.000468414,0.000468414,0.000468414
3,1281.19,2.49115,3.345,2.87446,0.32755,0.04833,0.00394,0.00103,2.88569,6.52295,3.35942,0.000697018,0.000697018,0.000697018
4,1752.8,2.02693,3.02324,2.43654,0.32169,0.03648,0.01336,0.00402,2.67381,4.52562,3.13227,0.000692794,0.000692794,0.000692794
5,2252.45,1.83317,2.85231,2.24064,0.36736,0.06993,0.02709,0.00707,2.57572,4.38838,2.99038,0.000685726,0.000685726,0.000685726
6,3135.98,1.71328,2.74873,2.12148,0.24418,0.088,0.02855,0.00877,2.51484,4.26152,2.95468,0.000678657,0.000678657,0.000678657
7,4788.19,1.67363,2.65437,2.06195,0.43008,0.10752,0.05095,0.01582,2.45685,3.86525,2.87962,0.000671588,0.000671588,0.000671588
8,5248,1.62986,2.59889,2.01573,0.33485,0.11403,0.07429,0.02491,2.37828,3.68332,2.77594,0.00066452,0.00066452,0.00066452
9,5642.18,1.59011,2.53753,1.96799,0.29602,0.15375,0.09413,0.031,2.43254,3.45921,2.76225,0.000657451,0.000657451,0.000657451
10,6038.12,1.55288,2.4754,1.9291,0.27293,0.14082,0.10565,0.04101,2.39879,3.4184,2.76778,0.000650383,0.000650383,0.000650383
11,6432.57,1.55016,2.41514,1.9033,0.30871,0.19118,0.13428,0.052,2.31912,3.27054,2.66829,0.000643314,0.000643314,0.000643314
12,6825.82,1.53836,2.40328,1.88505,0.52624,0.13988,0.13716,0.04488,2.40239,3.28823,2.68437,0.000636245,0.000636245,0.000636245
13,7222.97,1.50303,2.36274,1.85798,0.22816,0.18912,0.14804,0.05221,2.31896,3.20005,2.62757,0.000629177,0.000629177,0.000629177
