epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,66.404,1.53093,3.05973,0.01202,0.51789,0.40244,0.43555,0.21873,1.76905,2.72838,0.01839,0.000236996,0.000236996,0.000236996
2,118.959,1.46749,1.96151,0.01089,0.58229,0.4955,0.52533,0.26213,1.87764,1.95663,0.02068,0.000470293,0.000470293,0.000470293
3,165.76,1.46227,1.78432,0.01098,0.73865,0.52558,0.59272,0.28579,1.88649,1.78656,0.02104,0.000698878,0.000698878,0.000698878
4,212.759,1.45715,1.68205,0.01075,0.6257,0.53164,0.57377,0.27383,1.89196,1.71829,0.02124,0.000692794,0.000692794,0.000692794
5,260.599,1.44287,1.58139,0.01051,0.75675,0.51677,0.61209,0.30196,1.90517,1.67997,0.02134,0.000685726,0.000685726,0.000685726
6,308.99,1.41086,1.50333,0.01031,0.7492,0.57404,0.6367,0.31912,1.8315,1.53027,0.0198,0.000678657,0.000678657,0.000678657
7,351.889,1.38783,1.47175,0.01007,0.73084,0.58794,0.63365,0.32671,1.77379,1.62237,0.01916,0.000671588,0.000671588,0.000671588
8,394.469,1.38713,1.4068,0.00994,0.74651,0.5826,0.63949,0.33005,1.85929,1.45979,0.02057,0.00066452,0.00066452,0.00066452
9,436.848,1.37481,1.35919,0.00966,0.73595,0.61125,0.68031,0.35442,1.80304,1.34887,0.01991,0.000657451,0.000657451,0.000657451
10,479.065,1.35039,1.32974,0.00954,0.76448,0.63185,0.69805,0.37682,1.73913,1.39148,0.01878,0.000650383,0.000650383,0.000650383
11,513.166,1.34625,1.29747,0.00935,0.78197,0.61901,0.68873,0.38135,1.7019,1.34818,0.01767,0.000643314,0.000643314,0.000643314
12,547.449,1.3237,1.27565,0.0095,0.76943,0.67436,0.7145,0.3982,1.71922,1.26352,0.01849,0.000636245,0.000636245,0.000636245
13,581.374,1.30066,1.23572,0.00917,0.76471,0.65879,0.72785,0.4056,1.69371,1.18839,0.01865,0.000629177,0.000629177,0.000629177
14,615.607,1.3049,1.21549,0.00909,0.80124,0.63673,0.71452,0.39561,1.72852,1.21067,0.01833,0.000622108,0.000622108,0.000622108
15,649.436,1.30253,1.19843,0.00905,0.78018,0.62889,0.70708,0.40978,1.61682,1.16012,0.01597,0.00061504,0.00061504,0.00061504
16,683.814,1.29695,1.16729,0.00886,0.75759,0.65128,0.7216,0.41257,1.64219,1.19905,0.01662,0.000607971,0.000607971,0.000607971
17,718.356,1.29728,1.1532,0.00873,0.82543,0.66294,0.74674,0.4246,1.70347,1.09767,0.01804,0.000600902,0.000600902,0.000600902
18,752.541,1.2706,1.13208,0.00861,0.77185,0.67225,0.74135,0.41583,1.67196,1.14018,0.01694,0.000593834,0.000593834,0.000593834
19,786.514,1.26849,1.1193,0.00861,0.779,0.66343,0.72944,0.41264,1.66943,1.09723,0.01721,0.000586765,0.000586765,0.000586765
20,820.088,1.23365,1.1034,0.00861,0.84282,0.6585,0.75788,0.46172,1.55496,0.97768,0.01507,0.000579697,0.000579697,0.000579697
21,854.748,1.25085,1.09071,0.00847,0.81612,0.68201,0.75102,0.43527,1.6444,1.07094,0.0171,0.000572628,0.000572628,0.000572628
22,888.534,1.24861,1.07369,0.00839,0.82296,0.70089,0.76694,0.41893,1.71977,1.01814,0.01746,0.000565559,0.000565559,0.000565559
23,922.476,1.21736,1.04624,0.00821,0.85396,0.67566,0.7708,0.45556,1.59967,0.99608,0.01602,0.000558491,0.000558491,0.000558491
24,956.54,1.2337,1.04694,0.00821,0.82055,0.70356,0.78431,0.47167,1.58107,0.9813,0.01606,0.000551422,0.000551422,0.000551422
25,996.129,1.22597,1.04025,0.00819,0.80322,0.71735,0.77673,0.45299,1.54762,1.02452,0.01544,0.000544354,0.000544354,0.000544354
26,1036.89,1.20996,1.01255,0.008,0.79588,0.73113,0.78421,0.48683,1.50581,1.00049,0.01443,0.000537285,0.000537285,0.000537285
27,1077.64,1.19135,0.99274,0.00806,0.87901,0.70165,0.79617,0.47921,1.54473,0.95726,0.01466,0.000530216,0.000530216,0.000530216
